22/02/2024
SCRIP CODE	SCRIP NAME	CAPITAL(No. of shares in lacs)
500113	Steel Authority of India Ltd.	41300.92154
500114	Titan Company Limited	8877.86160
500116	IDBI Bank Ltd	107524.02175
500117	DCW Ltd.	2951.55017
500119	Dhampur Sugar Mills Ltd.	663.87590
500120	Diamines & Chemicals Ltd.	97.83240
500123	Elantas Beck India Ltd	79.27682
500124	Dr. Reddy's Laboratories Ltd.	1668.01589
500125	E.I.D. Parry (India) Ltd.	1775.17591
500126	PROCTER & GAMBLE HEALTH LIMITE	165.99382
500128	Electrosteel Castings Ltd.	5946.05247
500132	Empee Sugars & Chemicals Ltd.	419.72900
500133	Esab India Ltd.	153.93020
500135	EPL LIMITED	3183.78882
500136	Ester Industries Ltd.	833.93759
500138	Uniworth Textiles Ltd.	228.25000
500139	Fedders Electric and Engineeri	339.69700
500142	FGP Ltd	118.95051
500143	P.H. Capital Ltd.	30.00100
500144	Finolex Cables Ltd.	1529.39345
500147	JOHN COCKERILL INDIA LIMITED	49.37813
500148	Uflex Limited	722.11486
500150	Foseco India Ltd	63.86459
500151	Golden Tobacco Ltd.	176.08802
500153	Ganesh Benzoplast Ltd.	681.09421
500154	Futuristic Offshore Services a	173.15700
500159	Metroglobal Limited	123.34375
500160	GTL Ltd	1572.96781
500163	Godfrey Phillips India Ltd.	519.93920
500164	Godrej Industries Ltd.	3366.90741
500165	Kansai Nerolac Paints	8083.79580
500166	Goodricke Group Ltd.	216.00000
500168	Goodyear India Ltd.	230.66507
500170	GTN Industries Limited	175.40378
500171	GHCL Ltd.	957.23986
500173	GFL LIMITED	1098.50000
500174	Gujarat Lease Financing Limite	271.25767
500178	Harig Crankshafts Ltd.	3943.89790
500179	HCL Infosystems Ltd	3292.09928
500180	HDFC Bank Ltd.	75957.94922
500182	Hero MotoCorp Limited	1999.21741
500183	HFCL LIMITED	14287.72812
500184	Himadri Speciality Chemical Lt	4406.94573
500185	Hindustan Construction Co. Ltd	15130.28244
500186	Hindustan Oil Exploration Co.	1322.43289
500187	AGI GREENPAC LIMITED	646.97381
500188	Hindustan Zinc Ltd.	42253.19000
500189	NDL Ventures Limited	336.71621
500191	HMT Limited	12040.91640
500192	Prag Bosimi Synthetics Ltd.	743.82960
500193	HLV LIMITED	6592.59899
500199	IG Petrochemicals Ltd	307.94850
500201	India Glycols Ltd	309.61500
500202	India Lease Devl. Ltd.	147.00291
500206	Margo Finance Limited	45.70000
500207	Indo Rama Synthetics (India) L	2611.13151
500209	Infosys Ltd	41505.38610
500210	Ingersoll-Rand (India) Ltd.	315.68000
500211	Insilco Ltd	627.15000
500213	International Travel House Ltd	79.94500
500214	Ion Exchange (India) Ltd	1466.66590
500215	Agro Tech Foods Ltd	243.69264
500218	J.K.Pharmachem Ltd.	626.84919
500219	Jain Irrigation Systems Ltd.	6674.67561
500220	Jasch Industries Ltd.	67.98000
500223	JCT Ltd	8683.32614
500227	Jindal Poly Films Ltd.	437.86413
500228	JSW Steel Limited	24454.53966
500231	Umang Dairies Limited	220.03200
500233	Kajaria Ceramics Ltd	1592.58300
500234	Kakatiya Cement Sugar & Indust	77.73858
500235	Kalyani Steels Ltd	436.53060
500236	Kanel Industries Limited	184.12440
500238	Whirlpool of India Ltd	1268.71830
500239	K.G.Denim Ltd	256.37825
500240	Kinetic Engineering Ltd.	221.61500
500241	Kirloskar Brothers Ltd.	794.08926
500243	Kirloskar Industries Ltd	98.96338
500245	Kirloskar Ferrous Industries L	1392.71794
500246	Envair Electrodyne Ltd.	46.40000
500247	Kotak Mahindra Bank Ltd.	19878.94954
500248	KRISHNA FILAMENT INDUSTRIES LI	77.86300
500249	KSB LIMITED	348.07844
500250	L.g.Balkrishnan & Bros. Ltd.	313.92416
500251	Trent Ltd [Lakme Ltd]	3554.87461
500252	Lakshmi Machine Works Ltd.	106.83000
500253	Lic Housing Finance Ltd.	5500.63000
500257	Lupin Ltd	4554.88950
500259	Lyka Labs Ltd.	330.90000
500260	The Ramco Cements Limited	2362.92380
500262	HYBRID FINANCIAL SERVICES LIMI	294.36275
500264	Mafatlal Industries Ltd.	715.02930
500265	Maharashtra Seamless Ltd.	1339.91652
500266	Maharashtra Scooters Ltd.	114.28568
500267	Majestic Auto Ltd.	103.97478
500268	Manali Petrochemicals Ltd.	1719.99229
500270	Baroda Rayon Corpn. Ltd.	229.11359
500271	Max Financial Services Limited	3451.14771
500277	Mid India Industries Limited	163.00000
500279	Mirc Electronics Ltd	2309.52619
500280	Century Enka Ltd.	218.50589
500281	Modern Syntex (India) Ltd.	1135.00000
500282	Modern Thread (India) Ltd.	347.75160
500284	Lords Chloro Alkali Ltd	251.53861
500285	SpiceJet Limited	6843.38051
500288	Morepen Laboratories Ltd.	5111.68708
500290	M.R.F. Ltd.	42.41143
500292	HeidelbergCement  India Limite	2266.13116
500294	NCC Limited	6278.46588
500295	Vedanta Limited	37171.99039
500296	Nahar Spinning Mills Ltd.	360.65303
500298	Naperol Investments Limited	57.47000
500300	Grasim Industries Ltd	6584.79226
500302	Piramal Enterprises Limited	2246.63700
500304	NIIT Ltd.	1350.55222
500306	Jaykay Enterprises Limited	584.57688
500307	Nirlon Limited	901.18040
500312	Oil And Natural Gas Corporatio	125802.79206
500313	Oil Country Tubular Ltd.	442.89530
500314	Oriental Hotels Ltd.	1785.99180
500317	Oswal Agro Mills Ltd.	1342.34776
500319	Indian Sucrose Ltd.	173.76701
500322	Panyam Cements & Mineral Inds.	80.21401
500325	Reliance Industries Ltd	67656.86820
500327	Pil Italica Lifestyle Limited	2350.00000
500330	Raymond Limited	665.73731
500331	Pidilite Industries Ltd.	5086.09340
500333	Pix Transmissions Ltd.	136.25200
500335	Birla Corporation Ltd.	770.05347
500336	Surya Roshni Ltd.	1088.17948
500337	Prime Securities Ltd.	332.88825
500338	PRISM JOHNSON LIMITED.	5033.56580
500339	Rain Industries Limited	3363.45679
500342	Prudential Sugar Corporation L	322.52000
500343	AMJ LAND HOLDINGS LIMITED	410.00000
500346	Punjab Communications Limited	120.23565
500350	RSWM Limited	471.01684
500354	Rajshree Sugars & Chemicals Lt	331.35606
500355	Rallis India Ltd	1944.68890
500356	Shree Rama Newsprint Limited	1475.22032
500357	Rama Paper Mills Limited	96.64733
500358	Rama Petrochemicals Ltd	104.69400
500360	Rapicut Carbides Ltd.	53.71245
500365	WELSPUN SPECIALTY SOLUTIONS LI	5300.89156
500366	Rolta India Ltd.	1658.91355
500367	Rubfila International Ltd.	542.67529
500368	Patanjali Foods Limited	3619.94853
500370	Salora International Limited	88.07300
500371	Samtel (India) Ltd.	70.87943
500378	Jindal Saw Ltd.	3197.54117
500379	SBI Home Finance Ltd	150.00000
500380	JK Lakshmi Cement Limited	1176.70066
500387	Shree Cements Ltd.	360.80748
500388	Shree Krishna Paper Mills & In	135.21680
500389	Silverline Technologies Ltd.	599.85488
500390	Reliance Infrastructure Ltd	3961.31194
500399	Steelco Gujarat Ltd	425.61822
500400	Tata Power Co. Ltd	31953.39547
500402	SPML Infra Limited	489.77926
500403	Sundram Fasteners Ltd.	2101.28370
500404	Sunflag Iron & Steel Co. Ltd.	1802.19448
500405	Supreme Petrochem Ltd.	1880.41342
500407	Swaraj Engines Ltd.	121.47255
500408	Tata Elxsi Ltd	622.76440
500410	ACC Ltd	1877.87263
500411	Thermax Ltd.	1191.56300
500412	Thirumalai Chemicals Ltd.	1023.88120
500413	Thomas Cook (India) Ltd.	4703.80562
500414	Timex Group India Ltd	1009.50000
500418	Tokyo Plast International Ltd.	95.01400
500420	Torrent Pharmaceuticals Ltd.	3384.30240
500421	TPI India Ltd.	429.63470
500422	Transchem Limited.	122.40000
500425	Ambuja Cements Ltd.	19856.45229
500426	UTL Industries Limited	329.55000
500429	Uniphos Enterprises Limited.	695.45849
500439	Vardhman Holdings Limited	31.91536
500440	Hindalco Industries Ltd.	22472.16523
500444	West Coast Paper Mills Limited	660.48908
500449	Hindustan Organic Chemicals Lt	671.73100
500450	MPIL CORPORATION LIMITED	5.71577
500451	Modern Denim Limited	375.02000
500456	Pasupati Acrylon Ltd.	891.33121
500458	Kore Foods Limited	116.50000
500459	Procter & Gamble Hygiene & Hea	324.60736
500460	Mukand Ltd.	1444.95563
500463	BLACK BOX LIMITED	1680.25590
500464	UCAL LIMITED	221.13625
500465	Varun Shipping Co. Ltd.	1500.07773
500467	Harrisons Malayalam Ltd.	184.55405
500469	Federal Bank Ltd.	24335.46586
500470	TATA STEEL LIMITED	124834.42671
500472	SKF India Ltd.	494.37963
500477	Ashok Leyland Ltd.	29361.27276
500480	Cummins India Ltd.	2772.00000
500483	Tata Communications Limited	2850.00000
500488	Abbott India Ltd.	212.49302
500490	Bajaj Holdings & Investment Li	1112.93510
500493	Bharat Forge Ltd	4655.88632
500495	Escorts Kubota Limited	1104.98261
500500	Hindustan Motors Ltd.	2086.59293
500510	Larsen & Toubro Limited	13746.29658
500520	Mahindra & Mahindra Ltd.	12435.28831
500530	Bosch Ltd	294.93640
500540	Premier Limited	303.72570
500547	Bharat Petroleum Corpn. Ltd.	21692.52744
500550	Siemens Ltd.	3561.20255
500570	Tata Motors Ltd.	33232.51633
500575	Voltas Ltd.	3308.84740
500620	Great Eastern Shipping Co. Ltd	1427.67161
500645	Deepak Fertilizers &Petrochemi	1262.37825
500650	Excell Industries Ltd.	125.70692
500655	GARWARE HI-TECH FILMS LIMITED	232.32394
500660	GlaxoSmithkline Pharmaceutical	1694.06034
500670	Gujarat Narmada Valley Fert.Co	1469.40683
500672	Novartis India Limited.	246.90797
500674	Sanofi India Ltd	230.30622
500680	Pfizer Ltd.	457.47732
500690	Gujarat State Fertilizers & Ch	3984.77530
500696	Hindustan Unilever Ltd.	23495.91262
500710	Akzo Nobel India Limited	455.40314
500720	Futura Polyesters Ltd.	548.71679
500730	NOCIL Ltd	1666.45705
500770	Tata Chemicals Ltd	2547.56278
500777	Tamilnadu Petroproducts Ltd	899.71474
500780	Zuari Industries Limited	297.81184
500790	Nestle India Ltd.	9641.57160
500800	TATA CONSUMER PRODUCTS LIMITED	9528.34816
500820	Asian Paints Ltd.	9591.97790
500825	Britannia Industries Ltd.	2408.68296
500830	Colgate-Palmolive (India) Ltd.	2719.85634
500840	EIH Ltd	6253.64182
500850	Indian Hotels Co. Ltd	14234.32227
500870	Castrol India Ltd	9891.22384
500875	ITC Ltd	124791.15001
500877	Apollo Tyres Ltd	6351.00946
500878	Ceat Ltd.	404.50092
500890	Modi Rubber Ltd.	250.40532
500940	Finolex Industries Ltd.	6204.76905
500945	Value Industries Limited	391.85675
501110	Sunrise Industrial Traders Ltd	4.99000
501111	Gold Rock Investments Ltd.	7.85600
501144	Peoples Investments Ltd.	2.00000
501148	Dalal Street Investments Ltd.	3.15074
501150	Centrum Capital Limited	4160.32740
501151	Kartik Investments Trust Ltd.	2.44000
501156	Essar Investments Ltd.	12.00000
501242	TCI Finance Limited	128.72493
501261	Kratos Energy & Infrastructure	10.00000
501270	ANTARIKSH INDUSTRIES LIMITED	2.00000
501295	Industrial Investment Trust Lt	225.47550
501298	Industrial & Prudential Inv. C	16.75840
501301	Tata Investment Corporation Lt	505.95296
501311	Jayabharat Credit Ltd.	50.00000
501314	PRISMX GLOBAL VENTURES LIMITED	4390.96811
501343	Motor & General Finance (M.G.F	387.27190
501351	Rapid Investments Ltd.	13.10000
501370	Walchand Peoplefirst Limited	29.03890
501386	Swastik Safe Deposit & Invest.	2.40000
501391	W.H. Brady & Co. Ltd.	25.50000
501421	TechNVision Ventures Limited	62.75000
501423	Shaily Engineering Plastics Lt	458.67510
501425	Bombay Burmah Trading Corpn. L	697.71900
501430	Bombay Cycle & Motor Agency Lt	4.00000
501455	Greaves Cotton Ltd.	2319.99969
501477	Muller & Phipps (India) Ltd.	6.25000
501479	SPRINGFORM TECHNOLOGY LIMITED	0.50000
501622	Amalgamated Electricity Co. Lt	27.76512
501630	Anand Projects Ltd	9.34290
501700	India Nivesh Limited	377.50000
501827	Central Provinces Railways Co.	18.56400
501831	Coastal Corporation Limited	133.88852
501833	Chowgule Steamships Ltd.	363.08425
501848	Global Offshore Services Ltd	247.28793
501874	Mackinnon Mackenzie & Co. Ltd.	2.50000
501887	Scindia Steam Navigation Co. L	94.72931
501945	Dhenu Buildcon Infra Limited	183.00000
502015	ASI INDUSTRIES LIMITED	900.74910
502090	Sagar Cements Ltd	1307.07548
502125	Bagalkot Udyog Limited	85.18926
502133	Hemadri Cements Limited	66.70000
502137	Deccan Cements Ltd.	140.07500
502157	Mangalam Cement Ltd.	274.97298
502168	NCL Industries Limited	452.32790
502175	Saurashtra Cement Limited	1109.26070
502180	Shree Digvijay Cement Co. Ltd.	1467.70278
502216	Bombay Potteries & Tiles Ltd.	1.30000
502219	BOROSIL RENEWABLES LIMITED	1305.37795
502223	Excel Glasses Ltd.	712.60113
502250	LERTHAI FINANCE LIMITED	7.00000
502255	Neycer India Ltd.	61.09580
502271	Raasi Refractories Limited.	47.13136
502281	Triveni Glass Ltd.	126.19434
502294	Nilachal Refractories Ltd.	203.61450
502330	ANDHRA PAPER LIMITED	397.70039
502355	Balkrishna Industries Ltd.	1933.17190
502374	Ellora Paper Mills Ltd.	20.00000
502405	Mysore Paper Mills Limited	1188.93432
502420	Orient Paper & Industries Ltd.	2121.85502
502445	Citadel Realty And Developers	78.92198
502448	Rollatainters Ltd.	2501.30000
502450	Seshasayee Paper & Boards Ltd.	630.68140
502473	Relson India Ltd.	16.50000
502512	Dhampur Sugar (Kashipur) Ltd.	145.91700
502587	NATH INDUSTRIES LIMITED	190.00000
502589	VAPI ENTERPRISE LIMITED	22.81450
502761	Blue Blends (India) Ltd	216.51213
502820	DCM Ltd.	186.77749
502850	Gaekwar Mills Ltd.	20.00000
502865	Forbes & Company Ltd	128.98616
502873	H.P. Cotton Textile Mills Ltd.	39.22000
502893	United Interactive Limited	18.31000
502901	JAMSHRI REALTY LIMITED	0.69865
502933	Katare Spinning Mills Ltd.	28.50000
502937	Kesoram Industries Ltd	3106.40122
502958	Lakshmi Mills Company ltd	6.95550
502986	Vardhman Textiles Limted	2891.74800
503031	Peninsula Land Limited	2937.01220
503092	Pasupati Spg. & Wvg. Mills Ltd	93.37068
503100	The Phoenix Mills Ltd.	1786.64387
503101	Marathon Nextgen Realty Ltd	511.71297
503127	Raja Bahadur International Ltd	2.50000
503162	Reliance Chemotex Industries L	75.43563
503169	Ruby Mills Ltd.	334.40000
503205	Shree Ram Urban Infrastructure	411.34540
503229	Simplex Realty Limited	29.91382
503297	Super Syncotex (India) Ltd.	115.46378
503310	Swan Energy Ltd.	2639.17000
503349	Victoria Mills Ltd.	0.98560
503622	S.V. Trading & Agencies Ltd.	171.00000
503624	Svaraj Trading & Agencies Ltd.	147.50000
503626	Kshitij Investments Ltd	6.29400
503635	Shree Salasar Investment Ltd.	59.02000
503637	Dhanleela Investments & Tradin	473.25000
503639	Indsoya Limited	4.00000
503641	Zodiac Ventures Limited	372.90000
503657	Veer Energy & Infrastructure L	149.62935
503659	SW Investments Limited	9.00000
503663	Tilak Ventures Limited	2228.46275
503669	K K Fincorp Limited	56.00000
503671	Unijolly Investments Co. Ltd.	2.00000
503675	Wagend Infra Venture Limited	471.25000
503681	Elcid Investments Ltd.	2.00000
503685	Mediaone Global Entertainment	147.20000
503689	Healthy Investments Ltd.	2.45000
503691	Sahara One Media And Entertain	215.25000
503696	Shreenath Investments Co. Ltd.	2.50000
503722	Banswara Syntex Ltd.	342.32084
503772	Modella Woollens Ltd.	9.10000
503776	Modipon Ltd.	115.76689
503804	Shri Dinesh Mills Ltd.	56.00582
503806	SRF Ltd.	2964.24825
503811	Siyaram Silk Mills Ltd.	453.70088
503816	Swadeshi Polytex Ltd.	390.00000
503823	Birla Transasia Carpets Ltd.	28.35029
503837	Shree Rajasthan Syntex Ltd.	137.02301
503863	Shree Manufacturing Co. Ltd.	83.00227
503893	Satyam Silk Mills Ltd	18.51250
503960	Bharat Bijlee Ltd.	56.51560
504000	Elpro International Ltd.	1694.79130
504028	GEE Ltd.	259.88466
504036	Hind Rectifiers Ltd.	171.23978
504058	Indo National Limited	75.00000
504067	Zensar Technologies Ltd.	2265.23482
504076	Jyoti Ltd.	171.28992
504080	JSL Industries Ltd.	11.73868
504084	Kaycee Industries Ltd.	0.63470
504092	Indokem Ltd	278.88255
504093	Panasonic Energy India Co. Ltd	75.00000
504112	Nelco Ltd	228.18400
504132	Permanent Magnets Ltd.	85.98453
504176	High Energy Batteries (India)	89.63840
504180	Standard Batteries Ltd.	51.71125
504212	Universal Cables Ltd.	346.95381
504220	W.S. Industries (India) Ltd.	470.11585
504227	Willard India Ltd.	213.80000
504240	Delton Cables Ltd.	86.40000
504256	Deltron Ltd	25.50000
504258	Lakshmi Electrical Control Sys	24.58000
504273	MODULEX CONSTRUCTION TECHNOLOG	692.01786
504286	DELTA MANUFACTURING LIMITED	108.51120
504340	Confidence Finance And Trading	136.50000
504341	RAVINDRA ENERGY LIMITED	1542.30150
504346	G.D. Trading & Agencies Ltd.	1.00000
504351	Empower India Limited	11637.98560
504356	Multipurpose Trading & Agencie	49.50000
504365	Ridhi Synthetics Ltd.	12.02000
504369	Grandma Trading & Agencies Ltd	1306.00000
504370	Ardi Investment & Trading Ltd.	4.00000
504375	Softbpo Global Services Ltd.	1.50000
504378	Nyssa Corporation Limited	300.00000
504380	FLOMIC GLOBAL LOGISTICS LIMITE	72.00000
504392	Krishna Ventures Limited	108.00000
504397	Ganesh Holding Ltd.	4.05000
504398	SJ Corporation Limited	83.55000
504605	Uni-Abex Alloy Products Ltd.	19.75000
504614	Sarda Energy & Minerals Ltd	3523.81270
504643	BWL Limited	70.00000
504646	Bhagwati Autocast Limited	28.80684
504648	Bombay Wire Ropes Ltd.	53.39500
504671	Chase Bright Steel Co. Ltd.	16.75000
504697	Galada Power & Communication L	74.89880
504701	Gontermann Peipers (India) Ltd	222.35000
504731	Indian Bright Steel Co. Ltd.	10.00000
504741	Indian Hume Pipe Co. Ltd.	526.81770
504746	Indian Link Chain Mnfrs. Ltd.	5.00000
504786	Investment & Precision Casting	50.00000
504810	Informed Technologies India Lt	41.69100
504840	Kaira Can Co. Ltd.	9.22133
504864	Orissa Sponge Iron And Steel L	297.90000
504879	ORIENT CERATECH LIMITED	1196.39200
504882	National Standard (India) Limi	200.00000
504903	Rathi Steel & Power Ltd	313.08111
504908	Duncan Engineering Limited	36.96000
504918	Sandur Manganese & Iron Ores L	1620.34938
504959	Stovec Industries Ltd.	20.88016
504960	Stewarts & Lloyds of India Ltd	30.00000
504961	Tayo Rolls Ltd.	102.60935
504966	Tinplate Company of India Ltd.	1046.67638
504973	CHOLAMANDALAM FINANCIAL HOLDIN	1877.77462
504988	Welcast Steels Ltd.	6.38161
504998	Western Ministil Ltd.	21.57186
505010	Automotive Axles Ltd.	151.11975
505029	Atlas Cycles (Haryana) Ltd.	65.03838
505032	Automobile Products of India L	48.17656
505036	Automobile Corpn. of Goa Ltd.	60.88622
505075	Setco Automotive Limited	1337.67275
505100	India Radiators Ltd.	9.00000
505141	Scooters India Ltd.	429.92255
505160	Talbros Automotive Components	617.28150
505163	Z.F. Steering Gear (India) Lim	90.73300
505192	SML ISUZU LIMITED	144.71646
505196	TIL Ltd.	100.30265
505200	Eicher Motors Ltd.	2738.05630
505212	JAINEX AAMCOL LTD.	14.96338
505216	Alfred Herbert (India) Ltd.	7.71429
505232	Veljan Denison Limited	22.50000
505242	Dynamatic Technologies Ltd.	67.91443
505250	G. G. Dandekar Properties Limi	47.61387
505255	GMM Pfaudler Ltd.	449.57224
505283	Kirloskar Pneumatic Co.Ltd.	647.62290
505285	Tulive Developers Limited	21.54375
505299	KPT INDUSTRIES LIMITED	34.00000
505302	Lakshmi Automatic Loom Works L	6.68750
505320	Lynx Machinery & Commercials L	6.00000
505324	Manugraph India Ltd	304.15061
505336	HARSHIL AGROTECH LIMITED	108.00000
505343	Monotype India Ltd.	7031.21889
505355	Nesco Ltd	704.59960
505358	Integra Engineering India Ltd.	343.65196
505368	SEMAC CONSULTANTS LIMITED	30.66943
505400	Texmaco Infrastructure & Holdi	1274.26590
505412	Wendt (India) Ltd.	20.00000
505502	PS IT Infrastructure & Service	537.60000
505504	Sindu Valley Technologies Ltd.	7.00000
505509	Responsive Industries Ltd	2666.08544
505515	Shyamkamal Investments Ltd.	82.90000
505520	HEM Holdings and Trading Ltd.	2.40000
505523	Maharashtra Corporation Ltd.	6208.70786
505526	DOLAT ALGOTECH LIMITED	1760.00000
505533	WESTLIFE FOODWORLD LIMITED	1559.36165
505537	Zee Entertainment Enterprises	9605.19420
505585	Kovalam Inv. & Trading Co.Ltd.	22.23914
505590	SVP GLOBAL TEXTILES LIMITED	1265.00000
505594	Multiplus Holdings Ltd.	18.80000
505650	Skyline Millars Ltd	402.24250
505672	Asian Bearings Ltd.	151.10000
505681	Bimetal Bearings Ltd	38.25000
505685	Taparia Tools Ltd.	151.78750
505688	Bharat Gears Ltd.	153.55058
505690	Brady & Morris Engineering Co.	22.50000
505693	La Tim Metal & Industries Limi	883.14300
505700	Elecon Engineering Co.Ltd.	1121.99965
505703	Deccan Bearings Ltd.	21.83334
505710	Grauer & Weil (India) Ltd.	2267.05750
505711	Gajra Bevel Gears Ltd.	79.95400
505712	HIM TEKNOFORGE LIMITED	78.66016
505714	Gabriel India Ltd.	1436.43940
505720	Hercules Hoists Ltd.	320.00000
505725	ALGOQUANT FINTECH LIMITED	80.36000
505726	IFB Industries Limited	405.18796
505729	Singer India Limited	611.93039
505737	International Combustion (Indi	23.90276
505744	Federal-Mogul Goetze (India) L	556.32130
505750	Josts Engineering Co. Ltd.	48.89365
505790	Schaeffler India Limited	1563.03670
505797	Mipco Seamless Rings (Gujarat)	35.84800
505800	Rane Holdings Ltd.	142.77809
505807	Rolcon Engineering Co. Ltd.	7.56000
505827	SNL Bearings Ltd.	36.11540
505840	Jaipan Industries Ltd	60.99840
505850	Mangal Credit and Fincorp Limi	193.13986
505854	TRF Ltd	110.05047
505872	WPIL Ltd	97.67080
505890	Kennametal India Limtied	219.78240
505893	HINDUSTAN HARDY LIMITED	14.98450
505978	Triton Valves Ltd.	10.40027
506003	Sudal Industries Limited	73.67818
506022	Prakash Industries Ltd.	1790.81839
506024	HARIYANA VENTURES LIMITED	5.80500
506042	Prabhu Steel Industries Ltd.	7.17000
506074	Arshiya Limited	2634.75915
506076	Grindwell Norton Ltd.	1107.20000
506079	Lakshmi Precision Screws Ltd.	109.41667
506103	Victoria Enterprises Limited	5.00000
506105	Stanrose Mafatlal Investments	39.67920
506109	Genesys International Corporat	394.58604
506120	Alna Trading & Exports Ltd.	2.00000
506122	Pankaj Piyush Trade & Inv. Ltd	4.00000
506128	Parnax Lab Limited	114.85616
506134	Intellivate Capital Ventures L	447.56451
506146	Visagar Polytex Ltd	2927.00534
506159	ASIS LOGISTICS LIMITED	75.25500
506161	Ishwarshakti Holdings & Trader	14.40000
506162	Terraform Magnum Limited	2.40000
506166	Apis India Ltd	55.10076
506178	VELOX INDUSTRIES LIMITED	79.74000
506180	EMERGENT INDUSTRIAL SOLUTIONS	45.69000
506184	Kanani Industries Ltd	1978.68000
506186	GALAXY CLOUD KITCHENS LIMITED	449.37674
506190	Sarvamangal Mercantile Co. Ltd	2.49000
506194	Arihant Superstructures Limite	411.59991
506196	Viksit Engineering Ltd	2.49000
506197	Bliss GVS Pharma Limited	1046.90822
506222	Styrenix Performance Materials	175.85625
506235	Alembic  Ltd	2567.81828
506248	Amines & Plasticizers Ltd	550.20000
506260	Anuh Pharma Ltd.	501.12000
506261	MODISON LIMITED	324.50000
506285	Bayer CropScience Limited.	449.42092
506313	Sashwat Technocrats Limited	3.06233
506365	Chemo Pharma Laboratories Ltd.	15.00000
506373	Citurgia Biochemicals Ltd.	1320.95315
506390	Heubach Colorants India Limite	230.81798
506395	Coromandel International Limit	2944.03349
506401	Deepak Nitrite Limited	1363.93041
506405	DMCC SPECIALITY CHEMICALS LIMI	249.39933
506414	FERMENTA BIOTECH LIMITED	294.30987
506480	GOCL Corporation Limited	495.72490
506520	Jayshree Chemicals Ltd.	293.26457
506525	Kanoria Chemicals & Industries	436.93333
506528	Keltech Energies Ltd.	10.00000
506530	Kemp & Company Limited	10.80200
506532	Nitta Gelatin India Ltd	90.79160
506543	M.P. Agro Industries Ltd.	58.03914
506579	Oriental Carbon & Chemicals Lt	99.90092
506580	PB Global Limited	10.50000
506590	PCBL LIMITED	3774.62604
506597	Amal Ltd	123.62662
506605	Polychem Ltd	4.04045
506618	Punjab Chemicals and Crop Prot	122.62185
506640	Gujchem Distillers India Ltd.	35.68850
506642	Sadhana Nitrochem Ltd.	2470.58452
506655	Sudarshan Chemical Indus. Ltd.	692.27250
506680	Tecil Chemicals & Hydro Power	189.63700
506685	Ultramarine & Pigments Ltd.	292.00000
506687	Transpek Industry Ltd.	55.85569
506690	Unichem Laboratories Ltd.	704.05750
506734	Mysore Petro Chemicals Ltd.	65.83488
506767	Alkyl Amines Chemicals Ltd.	511.20958
506808	TUTICORIN ALKALI CHEMICALS AND	1218.35830
506820	AstraZeneca Pharma India Ltd.	250.00000
506852	Primo Chemicals Limited	2423.43220
506854	TANFAC Industries Ltd.	99.75000
506858	Gujarat Petrosynthese Ltd.	59.69166
